date, lst_c             , soil_moisture      , rainfall_mm            , region    , year, ndvi               , ndwi                , evi                ,ndvi,ndwi,evi,lst_c,soil_moisture,rainfall_mm,region,year, evi                        , rainfall_mm           
2017-03-01,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,15.99247678662921,0.2264665872479906,0.132757635945733,Kansas_HRW,2017.0,,
2017-03-02,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,21.142559530927592,0.2264665872479906,0.0,Kansas_HRW,2017.0,,
2017-03-03,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,21.08502718580155,0.2264665872479906,0.0278356884404762,Kansas_HRW,2017.0,,
2017-03-04,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,22.9209539508366,0.2264665872479906,0.2761208758279735,Kansas_HRW,2017.0,,
2017-03-05,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,25.27916935035882,0.2264665872479906,0.0641452647861479,Kansas_HRW,2017.0,,
2017-03-06,,,,,,,,,0.5415272008796893,-0.5704047120196153,0.3834297949758381,25.335291446178758,0.2264665872479906,0.300640970880586,Kansas_HRW,2017.0,,
2017-03-07,,,,,,,,,,,,20.989088911691734,,0.0,Kansas_HRW,2017.0,,
2017-03-08,,,,,,,,,,,,23.509891523010264,0.2223447843820658,0.0089078432344856,Kansas_HRW,2017.0,,
2017-03-09,,,,,,,,,,,,29.39856597053362,0.2223447843820658,0.0196825007609085,Kansas_HRW,2017.0,,
2017-03-10,,,,,,,,,,,,13.35935342515496,0.2223447843820658,0.8798323387562875,Kansas_HRW,2017.0,,
2017-03-11,,,,,,,,,,,,13.35935342515496,0.2223447843820658,1.7897932549257662,Kansas_HRW,2017.0,,
2017-03-12,,,,,,,,,,,,15.136666666666692,0.2223447843820658,1.644182785546346,Kansas_HRW,2017.0,,
2017-03-13,,,,,,,,,,,,9.428841393206705,0.2223447843820658,1.5499116808374278,Kansas_HRW,2017.0,,
2017-03-14,,,,,,,,,,,,16.44930671549133,,0.0,Kansas_HRW,2017.0,,
2017-03-15,,,,,,,,,,,,12.380293766589467,0.2194255036766629,0.0211179829605737,Kansas_HRW,2017.0,,
2017-03-16,,,,,,,,,,,,26.672176360091893,0.2194255036766629,0.6006515408458829,Kansas_HRW,2017.0,,
2017-03-17,,,,,,,,,,,,19.75830919461748,0.2194255036766629,0.2845176793309901,Kansas_HRW,2017.0,,
2017-03-18,,,,,,,,,,,,23.816394355833143,0.2194255036766629,0.0,Kansas_HRW,2017.0,,
2017-03-19,,,,,,,,,,,,33.25078345797102,0.2194255036766629,0.0,Kansas_HRW,2017.0,,
2017-03-20,,,,,,,,,,,,28.59858881430896,0.2194255036766629,0.0489474566556318,Kansas_HRW,2017.0,,
2017-03-21,,,,,,,,,,,,21.828397771180764,,0.0671688585733314,Kansas_HRW,2017.0,,
2017-03-22,,,,,,,,,,,,17.2268421052632,0.2181724563801736,0.012058917183955,Kansas_HRW,2017.0,,
2017-03-23,,,,,,,,,,,,27.54198287724716,0.2181724563801736,0.2547952753790842,Kansas_HRW,2017.0,,
2017-03-24,,,,,,,,,,,,26.01993882259297,0.2181724563801736,4.529624307827285,Kansas_HRW,2017.0,,
2017-03-25,,,,,,,,,,,,23.312997351437293,0.2181724563801736,0.1354577329662327,Kansas_HRW,2017.0,,
2017-03-26,,,,,,,,,,,,23.312997351437293,0.2181724563801736,2.3137125921875605,Kansas_HRW,2017.0,,
2017-03-27,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,25.774147523164963,0.2181724563801736,2.0787880676795094,Kansas_HRW,2017.0,,
2017-03-28,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,25.774147523164963,,13.639086911300373,Kansas_HRW,2017.0,,
2017-03-29,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,25.774147523164963,0.2690417547274712,33.59112386519042,Kansas_HRW,2017.0,,
2017-03-30,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,15.51332537814044,0.2690417547274712,0.0230598763947118,Kansas_HRW,2017.0,,
2017-03-31,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,15.51332537814044,0.2690417547274712,0.7344973959580211,Kansas_HRW,2017.0,,
2017-04-01,,,,,,,,,0.4734783283574134,-0.5260395254288115,0.3389348518412416,15.51332537814044,0.2690417547274712,18.41223763747626,Kansas_HRW,2017.0,,
2017-04-02,,,,,,,,,,,,17.425744370361095,0.2690417547274712,2.221211050459385,Kansas_HRW,2017.0,,
2017-04-03,,,,,,,,,0.5141391262657188,-0.5209221553308864,0.3505124957537935,21.445220663041454,0.2690417547274712,0.0395445002401859,Kansas_HRW,2017.0,,
2017-04-04,,,,,,,,,0.5141391262657188,-0.5209221553308864,0.3505124957537935,21.445220663041454,,13.12287125892594,Kansas_HRW,2017.0,,
2017-04-05,,,,,,,,,0.5141391262657188,-0.5209221553308864,0.3505124957537935,15.242830493776909,0.270226865634026,8.371680569243306,Kansas_HRW,2017.0,,
2017-04-06,,,,,,,,,0.5141391262657188,-0.5209221553308864,0.3505124957537935,22.61623737086127,0.270226865634026,0.0,Kansas_HRW,2017.0,,
2017-04-07,,,,,,,,,0.5141391262657188,-0.5209221553308864,0.3505124957537935,15.93987748465178,0.270226865634026,0.0577027675824774,Kansas_HRW,2017.0,,
