region,year,date,ndvi,ndwi,evi,lst_c,soil_moisture,rainfall_mm
Kansas_HRW,2017.0,2017-03-05,0.5415272008796893,-0.5704047120196153,0.3834297949758381,21.284037360910755,0.2264665872479906,0.5008594650003306
Kansas_HRW,2017.0,2017-03-12,0.5415272008796893,-0.5704047120196153,0.3834297949758381,20.155458766913,0.22303175152638663,4.64303969410438
Kansas_HRW,2017.0,2017-03-19,,,,20.25087217768586,0.2199120504608967,2.4561988839748743
Kansas_HRW,2017.0,2017-03-26,,,,23.977392156209664,0.21838129759625513,7.36176514077308
Kansas_HRW,2017.0,2017-04-02,0.4734783283574134,-0.5260395254288115,0.3389348518412416,20.18402329632533,0.26056353833625495,70.70000480445867
Kansas_HRW,2017.0,2017-04-09,0.5141391262657188,-0.5209221553308864,0.3505124957537935,20.097968496244615,0.2700293471496002,25.703798216913768
Kansas_HRW,2017.0,2017-04-16,0.6491939694100266,-0.6263149545213347,0.4324205911974959,24.439855998881775,0.26125178097710766,17.64928671745977
Kansas_HRW,2017.0,2017-04-23,0.7164477335050912,-0.676379942523687,0.4805550484996499,22.930348508440613,0.25799507094687235,7.835035371823539
Kansas_HRW,2017.0,2017-04-30,0.7164477335050912,-0.676379942523687,0.4805550484996499,20.716278093794166,0.2664533985046215,51.18064749836371
Kansas_HRW,2017.0,2017-05-07,0.7191487773058104,-0.6747982790499308,0.5397209760439564,24.01252031767114,0.2754340082533509,16.906108147479898
Kansas_HRW,2017.0,2017-05-14,0.7127706628990028,-0.6702061510879359,0.5172359912921588,28.16048995589902,0.27275441570322784,21.21201070488788
Kansas_HRW,2017.0,2017-05-21,0.7000144340853877,-0.6610218951639463,0.4722660217885635,24.74407105812362,0.2804051852161418,56.99334046546737
Kansas_HRW,2017.0,2017-05-28,0.6808810291263784,-0.6514542225345458,0.4464465334254939,26.61618827139908,0.2776377729044807,16.73597484470453
Kansas_HRW,2017.0,2017-06-04,0.6131989137390317,-0.6084847984216418,0.3881059850620405,32.30925557325441,0.26516224216120116,10.71977053027277
Kansas_HRW,2017.0,2017-06-11,0.4267904500366928,-0.4949080511527941,0.25752905107941587,33.73576781469434,0.2538582363749063,13.502235346686746
Kansas_HRW,2017.0,2017-06-18,0.2999805602165763,-0.41558598077970965,0.1882412060503893,37.41011693538155,0.24101690899155345,19.350811980087457
Kansas_HRW,2017.0,2017-06-25,0.256392893333274,-0.4009056680854434,0.1701407939730761,36.54233317909969,0.23517108059595124,12.217158998575874
Kansas_HRW,2017.0,2017-07-02,0.1931937174134171,-0.2866005002246473,0.08475369150310748,35.04920954471627,0.23797157761834795,23.71715247677504
Kansas_HRW,2017.0,2017-07-09,0.21310001044611498,-0.31384878520650694,0.13112492318060412,37.686982045443706,0.2324868006697394,20.07913202603863
Kansas_HRW,2017.0,2017-07-16,0.24472110126239324,-0.3757646401323823,0.17553101372952423,39.67683623217048,0.22190719137243012,8.686431015485093
Kansas_HRW,2018.0,2018-03-04,0.24421208541029124,-0.37504833466364135,0.15812850486011537,21.102728535652666,0.2097108905584744,0.13195694371755
Kansas_HRW,2018.0,2018-03-11,0.2587967927549331,-0.38465483571392456,0.16847706166843376,18.385374342316684,0.2070567633501673,0.5301226868944967
Kansas_HRW,2018.0,2018-03-18,0.26024572311989264,-0.3727446263975036,0.18329586750447963,23.393002589460917,0.2098703904379883,1.8280207777934925
Kansas_HRW,2018.0,2018-03-25,0.28314522251306995,-0.3935969523746377,0.19707522768799177,20.40453263893054,0.21883239529810536,22.947630833929658
Kansas_HRW,2018.0,2018-04-01,0.3005298821490635,-0.3919513627743877,0.23212025275226758,20.45996635961823,0.21912394011274527,8.070997124195046
Kansas_HRW,2018.0,2018-04-08,0.364202138644856,-0.42904203156209253,0.2800283345864918,19.03804614114669,0.21543244265949693,6.477790199456809
Kansas_HRW,2018.0,2018-04-15,0.48399036240085425,-0.5196132653147659,0.3731289967832196,25.040511547933022,0.2117169214819146,4.463489402272113
Kansas_HRW,2018.0,2018-04-22,0.3944449049107061,-0.4652214351974683,0.2975128214620925,25.47235799981384,0.21397442538936065,19.843434789104464
Kansas_HRW,2018.0,2018-04-29,0.4167780819191176,-0.4611117214199582,0.3171889122984007,26.660013115254365,0.2180102058382836,2.0248563250480953
Kansas_HRW,2018.0,2018-05-06,0.5615405732448029,-0.5571368055606214,0.452241253581336,29.81666336498437,0.22213697771592286,27.46889862977337
Kansas_HRW,2018.0,2018-05-13,0.505642571218815,-0.5270540530478931,0.37657648949631534,33.44383315651544,0.21567641673762025,14.734517029480509
Kansas_HRW,2018.0,2018-05-20,0.4893955263930231,-0.5134372691767929,0.3529522049029015,31.90780474593927,0.21517730492825748,30.420817175297163
Kansas_HRW,2018.0,2018-05-27,0.5640001521540521,-0.5623402962841161,0.40089029923088315,34.75613661430002,0.21782398726626898,12.91599878097437
Kansas_HRW,2018.0,2018-06-03,0.4858824542430314,-0.5220970874525411,0.31283123765911053,34.07840950535152,0.22317623786695603,34.72156878826134
Kansas_HRW,2018.0,2018-06-10,0.43229416678045995,-0.49040679600558906,0.2895237411067094,36.59761454551819,0.21425637985953314,12.067982386591119
Kansas_HRW,2018.0,2018-06-17,0.27216927427771387,-0.39243936784198513,0.20239424982688328,38.33249256957153,0.20378245911072992,19.62354911047453
Kansas_HRW,2018.0,2018-06-24,0.23333231540283328,-0.3583966946684995,0.18083798763274608,34.35549787488271,0.22848314212253729,53.354568395884584
Kansas_HRW,2018.0,2018-07-01,0.2771533737429812,-0.37686053986632767,0.18878297440046818,35.429075189002965,0.23635662521263712,23.094134948629687
