year,month,weat_ret,weat_price,month_end,signal,decay,signal_decayed,position,pos_chg,gross_ret,net_ret,cum_net,cum_bh,prev_pos,trade
2012,2,-0.03653833333068168,21.34465,2012-02-29,,0.8705505632961241,,0.0,0.0,-0.0,-0.0,100000.0,96346.16666693184,0.0,False
2012,3,-0.024513226522898335,21.034827272727274,2012-03-30,,0.7578582832551991,,0.0,0.0,-0.0,-0.0,100000.0,93984.41125881241,0.0,False
2012,4,-0.03129263032130314,20.214589999999998,2012-04-30,,0.6597539553864472,,0.0,0.0,-0.0,-0.0,100000.0,91043.39182132509,0.0,False
2012,5,-0.018727971685996825,19.76934090909091,2012-05-31,,0.5743491774985175,,0.0,0.0,-0.0,-0.0,100000.0,89338.33375709818,0.0,False
2012,6,0.10288789071703519,20.16432857142857,2012-06-29,,0.5,,0.0,0.0,0.0,0.0,100000.0,98530.16647754052,0.0,False
2012,7,0.10447637258366882,24.025757142857145,2012-07-31,,0.4352752816480621,,0.0,0.0,0.0,0.0,100000.0,108824.24086117897,0.0,False
2012,8,0.006962590385527934,24.54908695652174,2012-08-31,,0.37892914162759955,,0.0,0.0,0.0,0.0,100000.0,109581.93947431138,0.0,False
2012,9,-0.004475724774692713,24.377015789473685,2012-09-28,,0.3298769776932236,,0.0,0.0,-0.0,-0.0,100000.0,109091.48087294733,0.0,False
2012,10,-0.02042466949325561,23.840390476190475,2012-10-31,,0.2871745887492588,,0.0,0.0,-0.0,-0.0,100000.0,106863.32343158757,0.0,False
2012,11,-0.017363816759474848,23.8256,2012-11-30,,0.25,,0.0,0.0,-0.0,-0.0,100000.0,105007.76826521299,0.0,False
2012,12,-0.09522231660167191,22.347135,2012-12-31,,0.21763764082403103,,0.0,0.0,-0.0,-0.0,100000.0,95008.68530982788,0.0,False
2013,1,-0.006095285437503262,20.92383333333333,2013-01-31,,1.0,,0.0,0.0,-0.0,-0.0,100000.0,94429.58025382255,0.0,False
2013,2,-0.09768706743496303,19.829278947368422,2013-02-28,,0.8705505632961241,,0.0,0.0,-0.0,-0.0,100000.0,85205.03147971214,0.0,False
2013,3,-0.03770795355493439,18.955750000000002,2013-03-28,,0.7578582832551991,,0.0,0.0,-0.0,-0.0,100000.0,81992.12411002842,0.0,False
2013,4,0.05821233109772095,18.666427272727272,2013-04-30,,0.6597539553864472,,0.0,0.0,0.0,0.0,100000.0,86765.07678612684,0.0,False
2013,5,-0.03184179070209947,18.688931818181818,2013-05-31,,0.5743491774985175,,0.0,0.0,-0.0,-0.0,100000.0,84002.3213708514,0.0,False
2013,6,-0.09549102679118604,18.248835,2013-06-28,,0.5,,0.0,0.0,-0.0,-0.0,100000.0,75980.85345030561,0.0,False
2013,7,0.0028164180118448456,17.183136363636365,2013-07-31,,0.4352752816480621,,0.0,0.0,0.0,0.0,100000.0,76194.8472945184,0.0,False
2013,8,-0.030881131988611532,16.566295454545454,2013-08-30,,0.37892914162759955,,0.0,0.0,-0.0,-0.0,100000.0,73841.86415836427,0.0,False
2013,9,0.0042251299347384474,16.38409,2013-09-30,,0.3298769776932236,,0.0,0.0,0.0,0.0,100000.0,74153.85562905668,0.0,False
2013,10,0.0006008964706571973,17.079147826086956,2013-10-31,,0.2871745887492588,,0.0,0.0,0.0,0.0,100000.0,74198.4144191898,0.0,False
2013,11,-0.03471413528284739,16.12963,2013-11-29,,0.25,,0.0,0.0,-0.0,-0.0,100000.0,71622.68062326926,0.0,False
2013,12,-0.08225567881954077,15.366757142857145,2013-12-31,,0.21763764082403103,,0.0,0.0,-0.0,-0.0,100000.0,65731.30840972709,0.0,False
2014,1,-0.08474685902726253,14.1378,2014-01-31,,1.0,,0.0,0.0,-0.0,-0.0,100000.0,60160.78648225043,0.0,False
2014,2,0.07333591074020296,14.429631578947369,2014-02-28,,0.8705505632961241,,0.0,0.0,0.0,0.0,100000.0,64572.73254977315,0.0,False
2014,3,0.14078771105474974,16.18672380952381,2014-03-31,,0.7578582832551991,,0.0,0.0,0.0,0.0,100000.0,73663.77976200625,0.0,False
2014,4,0.033266078423769274,16.350009523809522,2014-04-30,,0.6597539553864472,,0.0,0.0,0.0,0.0,100000.0,76114.28483656041,0.0,False
2014,5,-0.11650540421909439,16.26822380952381,2014-05-30,,0.5743491774985175,,0.0,0.0,-0.0,-0.0,100000.0,67246.55931482966,0.0,False
2014,6,-0.08780558687914175,14.335133333333333,2014-06-30,,0.5,,0.0,0.0,-0.0,-0.0,100000.0,61341.935708588026,0.0,False
2014,7,-0.0766439394254389,13.076813636363637,2014-07-31,,0.4352752816480621,,0.0,0.0,-0.0,-0.0,100000.0,56640.448103899835,0.0,False
2014,8,0.011801604275064825,12.852157142857143,2014-08-29,,0.37892914162759955,,0.0,0.0,0.0,0.0,100000.0,57308.896258384404,0.0,False
