year,entry,exit,direction,months,avg_pos,total_ret,best_mo,worst_mo,weat_price,signal,signal_decayed,position,net_ret,gross_ret,cum_net,cum_bh
2021,2021-04-30,2021-05-28,LONG,1,0.458,0.0953,0.0953,0.0953,6.473571428571428,0.694,0.4578692450381943,0.4578692450381943,0.09532269828125085,0.09539078268479177,126321.72169924183,31640.080751977646
2022,2022-02-28,2022-03-31,LONG,1,0.373,0.0895,0.0895,0.0895,7.7563157894736845,0.428,0.3725956410907411,0.3725956410907411,0.08952648677901039,0.08958189113791964,136412.2924705772,39394.24831262507
2024,2024-06-28,2024-07-31,SHORT,1,-0.46,0.0843,0.0843,0.0843,5.6489473684210525,-0.919,-0.4595,-0.4595,0.08428392514108017,0.0843522520352013,160692.20352500456,23662.984262910966
2016,2016-02-29,2016-03-31,SHORT,1,-0.871,0.0605,0.0605,0.0605,8.896809999999999,-1.0,-0.8705505632961241,-0.8705505632961241,0.06054118273354838,0.06067063217025226,105948.06415508149,38636.86581441431
2024,2024-02-29,2024-03-28,SHORT,1,-0.8,0.0468,0.0468,0.0468,5.4845,-0.919,-0.8000359676691381,-0.8000359676691381,0.046802130715840426,0.046921094748171285,165344.07501238005,24019.502487007
2017,2017-06-30,2017-07-31,LONG,1,0.25,0.0436,0.0436,0.0436,7.103818181818181,0.5,0.25,0.25,0.04358287824189694,0.0436200528306462,118379.35874213328,34893.46574507678
2022,2022-03-31,2022-04-29,LONG,1,0.324,0.0429,0.0429,0.0429,10.386086956521739,0.428,0.3243633452332252,0.3243633452332252,0.042943338244608935,0.04299157054046645,142270.29168686373,43939.71374067717
2016,2016-08-31,2016-09-30,SHORT,1,-0.379,0.0418,0.0418,0.0418,7.668704347826087,-1.0,-0.37892914162759955,-0.37892914162759955,0.04179733188934014,0.0418536780293606,114909.3466944948,31417.529847742237
2023,2023-02-28,2023-03-31,SHORT,1,-0.423,0.0358,0.0358,0.0358,7.666842105263157,-0.486,-0.4230875737619163,-0.4230875737619163,0.03582056471460379,0.03588347714084188,152195.44088923177,31862.65079234246
2023,2023-04-28,2023-05-31,SHORT,1,-0.321,0.0354,0.0354,0.0354,6.816315789473684,-0.486,-0.3206404223178133,-0.3206404223178133,0.0354278911527473,0.03547556985609151,158418.0301862321,28431.27668933267
2016,2016-05-31,2016-06-30,SHORT,1,-0.574,0.0329,0.0329,0.0329,8.786404761904762,-1.0,-0.5743491774985175,-0.5743491774985175,0.032937415822616244,0.033022820600504176,104098.05317339534,38904.24555795634
2024,2024-07-31,2024-08-30,SHORT,1,-0.4,0.032,0.032,0.032,5.136363636363637,-0.919,-0.4000179838345691,-0.4000179838345691,0.031958893790202204,0.032018375806367634,165827.74859037373,22014.126106588774
2018,2018-04-30,2018-05-31,LONG,1,0.33,0.0317,0.0317,0.0317,6.443695238095238,0.5,0.3298769776932236,0.3298769776932236,0.031732330765820146,0.03178138292975452,119543.11044210065,29946.753173642537
2016,2016-06-30,2016-07-29,SHORT,1,-0.5,0.0315,0.0315,0.0315,8.934086363636364,-1.0,-0.5,-0.5,0.031505028419322484,0.031579377596821,107377.66529701931,36765.17770737634
2018,2018-02-28,2018-03-29,LONG,1,0.435,0.0276,0.0276,0.0276,6.379736842105263,0.5,0.43527528164806206,0.43527528164806206,0.02762595481052833,0.02769067952888027,119539.74179421969,29724.001403218077
2016,2016-07-29,2016-08-31,SHORT,1,-0.435,0.0272,0.0272,0.0272,7.988745,-1.0,-0.4352752816480621,-0.4352752816480621,0.02720744347311561,0.02727216819146755,110299.13705586307,34759.84548732681
2016,2016-11-30,2016-12-30,SHORT,1,-0.25,0.0191,0.0191,0.0191,7.174557142857142,-1.0,-0.25,-0.25,0.019133496375044485,0.019170670963793743,115416.13121103981,30526.34780461011
2022,2022-04-29,2022-05-31,LONG,1,0.282,0.0184,0.0184,0.0184,10.6395,0.428,0.2823746929053994,0.2823746929053994,0.018380018563609254,0.01842200721593708,144885.22228911836,46435.241473673464
2023,2023-05-31,2023-06-30,SHORT,1,-0.279,0.016,0.016,0.016,6.3109090909090915,-0.486,-0.2791337002642795,-0.2791337002642795,0.01604120056771079,0.016082707289764325,160959.24558199113,27005.218497531707
2017,2017-02-28,2017-03-31,LONG,1,0.435,0.0119,0.0119,0.0119,7.346047368421053,0.5,0.43527528164806206,0.43527528164806206,0.01192345729923673,0.011988182017588667,116576.93750410354,32353.380437964603
2021,2021-06-30,2021-07-30,LONG,1,0.347,0.0102,0.0102,0.0102,6.665454545454545,0.694,0.347,0.347,0.010214933391783134,0.010266531720967106,123489.81034959348,30169.483262907965
2021,2021-08-31,2021-09-30,LONG,1,0.263,0.0074,0.0074,0.0074,7.167727272727273,0.694,0.26297682428955405,0.26297682428955405,0.007392793005215325,0.007431897226389526,125289.86904918437,31550.979397324714
2021,2021-07-30,2021-08-31,LONG,1,0.302,0.0071,0.0071,0.0071,6.626428571428572,0.694,0.3020810454637551,0.3020810454637551,0.007131065264987077,0.007175984219523322,124370.42424675728,30793.39028252122
2018,2018-05-31,2018-06-29,LONG,1,0.287,0.0068,0.0068,0.0068,6.791954545454545,0.5,0.2871745887492588,0.2871745887492588,0.006829493622772054,0.006872196011716019,120359.52935251128,30570.621984260593
2024,2024-10-31,2024-11-29,SHORT,1,-0.264,0.0057,0.0057,0.0057,5.255217391304348,-0.919,-0.26391344706056885,-0.26391344706056885,0.005746171834616823,0.005785415330056327,163211.94778261025,22905.395926085963
2023,2023-03-31,2023-04-28,SHORT,1,-0.368,0.0053,0.0053,0.0053,7.027826086956521,-0.486,-0.36831912566202674,-0.36831912566202674,0.005270889424056326,0.0053256578721562154,152997.6462290044,31461.576434352704
2017,2017-05-31,2017-06-30,LONG,1,0.287,-0.0002,-0.0002,-0.0002,6.877386363636364,0.5,0.2871745887492588,0.2871745887492588,-0.0001641343195927223,-0.00012143193064875746,113435.51260783868,30292.258143964733
2020,2020-01-31,2020-02-28,LONG,1,0.275,-0.0003,-0.0003,-0.0003,5.867142857142857,0.275,0.275,0.275,-0.000275,-0.0,120461.9567012037,25490.48886518015
2022,2022-01-31,2022-02-28,LONG,1,0.428,-0.0004,-0.0004,-0.0004,7.401999999999999,0.428,0.428,0.428,-0.000428,-0.0,125203.28245883738,32575.981823349113
2017,2017-01-31,2017-02-28,LONG,1,0.5,-0.0005,-0.0005,-0.0005,7.1530000000000005,0.5,0.5,0.5,-0.0005,0.0,115203.31568875813,31595.827378739326
2023,2023-01-31,2023-02-28,SHORT,1,-0.486,-0.0005,-0.0005,-0.0005,7.536499999999999,-0.486,-0.486,-0.486,-0.000486,-0.0,146932.24490205568,34402.75461721672
2018,2018-01-31,2018-02-28,LONG,1,0.5,-0.0005,-0.0005,-0.0005,6.071233333333334,0.5,0.5,0.5,-0.0005,0.0,116326.1216151943,28164.22817033221
2021,2021-01-29,2021-02-26,LONG,1,0.694,-0.0007,-0.0007,-0.0007,6.280263157894737,0.694,0.694,0.694,-0.000694,0.0,118666.81357813891,28075.003158633142
2024,2024-01-31,2024-02-29,SHORT,1,-0.919,-0.0009,-0.0009,-0.0009,5.742857142857143,-0.919,-0.919,-0.919,-0.0009190000000000001,-0.0,157951.603422236,25311.84122517582
2016,2016-01-29,2016-02-29,SHORT,1,-1.0,-0.001,-0.001,-0.001,9.133126315789474,-1.0,-1.0,-1.0,-0.001,0.0,99900.0,41132.394171473614
2021,2021-02-26,2021-03-31,LONG,1,0.604,-0.0012,-0.0012,-0.0012,6.274152631578947,0.694,0.60416209092751,0.60416209092751,-0.001192074622929643,-0.001102236713857153,118525.35388108846,28030.413390300146
2024,2024-08-30,2024-09-30,SHORT,1,-0.348,-0.0025,-0.0025,-0.0025,4.950227272727273,-0.919,-0.348235881155764,-0.348235881155764,-0.002480731851027581,-0.0024289497483487763,165416.3744126614,22147.79811191749
2024,2024-03-28,2024-04-30,SHORT,1,-0.696,-0.0031,-0.0031,-0.0031,5.2265,-0.919,-0.696471762311528,-0.696471762311528,-0.003071461781240305,-0.0029678975758826946,164836.22700522502,24108.607759877155
2016,2016-10-31,2016-11-30,SHORT,1,-0.287,-0.0069,-0.0069,-0.0069,7.274980952380952,-1.0,-0.2871745887492588,-0.2871745887492588,-0.006924732257134158,-0.006882029868190193,113249.27658796753,32709.93741152386
2016,2016-09-30,2016-10-31,SHORT,1,-0.33,-0.0076,-0.0076,-0.0076,7.205619047619048,-1.0,-0.3298769776932236,-0.3298769776932236,-0.00757449960225818,-0.0075254474383238045,114038.9658936616,32041.47491698558
2017,2017-04-28,2017-05-31,LONG,1,0.33,-0.0077,-0.0077,-0.0077,6.854121052631578,0.5,0.3298769776932236,0.3298769776932236,-0.007693605931365844,-0.007644553767431468,113454.1343249811,30303.413217586396
2016,2016-04-29,2016-05-31,SHORT,1,-0.66,-0.0162,-0.0162,-0.0162,8.975552380952381,-1.0,-0.6597539553864472,-0.6597539553864472,-0.016190571263082095,-0.016092466935213344,100778.66439806826,40954.13242387237
2024,2024-09-30,2024-10-31,SHORT,1,-0.303,-0.019,-0.019,-0.019,5.176,-0.919,-0.3031569425000725,-0.3031569425000725,-0.018963735093890467,-0.018918656155234775,162279.4621081079,23351.02442990712
2017,2017-03-31,2017-04-28,LONG,1,0.379,-0.0192,-0.0192,-0.0192,7.104991304347827,0.5,0.37892914162759955,0.37892914162759955,-0.01924192066257753,-0.019185574522557067,114333.77332156332,30927.344507095717
2018,2018-06-29,2018-07-31,LONG,1,0.25,-0.0201,-0.0201,-0.0201,6.570285714285714,0.5,0.25,0.25,-0.02013122058203722,-0.02009404599328796,117936.5451179657,28431.548722693195
2021,2021-03-31,2021-04-30,LONG,1,0.526,-0.027,-0.027,-0.027,6.11695652173913,0.694,0.5259536485791081,0.5259536485791081,-0.026973455863222327,-0.026895247420873927,115328.31547950413,26782.594444420683
2018,2018-03-29,2018-04-30,LONG,1,0.379,-0.0307,-0.0307,-0.0307,6.5009571428571435,0.5,0.37892914162759955,0.37892914162759955,-0.03072904635262104,-0.030672700212600577,115866.39952764475,27629.42947919831
2021,2021-05-28,2021-06-30,LONG,1,0.399,-0.0323,-0.0323,-0.0323,6.856999999999999,0.694,0.39859832918397115,0.39859832918397115,-0.03230320366452824,-0.032243932748674015,122241.12539593737,29411.93232972605
2016,2016-03-31,2016-04-29,SHORT,1,-0.758,-0.0331,-0.0331,-0.0331,8.905559090909092,-1.0,-0.7578582832551991,-0.7578582832551991,-0.03313777658955642,-0.03302508430951549,102437.18087501441,40102.58854756064
2024,2024-04-30,2024-05-31,SHORT,1,-0.606,-0.0361,-0.0361,-0.0361,5.461818181818182,-0.919,-0.606313885000145,-0.606313885000145,-0.036137348054699946,-0.03604719017738856,158879.48289791367,25356.39355085893
2024,2024-05-31,2024-06-28,SHORT,1,-0.528,-0.0672,-0.0672,-0.0672,6.1827272727272735,-0.919,-0.5278268941211377,-0.5278268941211377,-0.06720981175837058,-0.06713132476749158,148201.22276007762,28163.863959349794
